Mode-ID,<c2>,dtheta_dc,dL_dc,domega_dc
1,484.6659821195293,-0.005377370571733161,0.03428509153332158,-0.00010044146201328392
2,390.72113352240024,0.0014199337893116561,-0.012406721095294213,-0.00024930100599874285
3,237.67064441976225,0.004027271464289289,0.0406884711454949,-0.006958479737119357
4,159.34420248059217,-0.0010981493203979396,0.03057313211765535,0.00605342889206157
5,115.44307714293294,0.00046345432215454943,0.012169317208206722,0.0004021713512460134
6,76.7855285973621,0.0009265051288065224,-0.004022467220067441,-0.0004438698742445577
7,49.80649149392706,-0.0076340112753890185,-0.0034010416911813344,0.0013846049559996206
8,31.579885361779745,0.004353934700314921,-0.014827463542333897,-0.0010479183041733648
9,26.208503936829644,0.0010210816159128117,-0.0074994866568153015,-0.0004175543822106972
10,16.885216516555527,-0.0013141809078603107,-0.004503735818143471,0.0010657765801142102
11,14.442245215948349,-0.001826944788088337,0.03097567908848807,0.003835365923958464
12,13.060707957115133,0.00010215833198106686,-0.004097884324338795,-0.0054555850474365215
13,10.580075417503833,0.0036827097780405054,0.004118384261575533,0.0032826618110362877
14,9.706581008273371,-0.01300650676714895,0.005411064091229178,0.001495381710346092
15,9.237633182803137,0.0019061214696470315,-0.008785934233406841,-0.003517408366173105
16,8.685447997252266,0.015026821022519884,0.029482170290822906,-0.0044688464869754255
17,7.007356333055368,-0.002033116407026389,-0.009393401222557687,0.0014143482946968097
18,6.686639946876781,0.013106494862708724,-0.017258127801693984,0.003131207481001686
19,6.324222248734254,0.004088667771963967,0.01805349154299274,0.0004170707038908175
20,6.023679299429053,0.00014353601058606172,0.00779308122699982,0.0050216170994272355
21,5.789185635091608,-0.0009739071028491519,0.006248991640458651,0.004679825133250689
22,5.201923068212075,-0.004545906898847693,-0.010695837779407521,0.003336140511328557
23,4.928493221803085,0.0064194649925238285,-0.03519874193598089,0.00542174548492905
24,4.390158825402215,-0.0038555858099827405,-0.012094268672162357,-0.0010580431872684347
25,4.115742537977285,-0.003677497887150236,0.043670717620519287,-0.0005819815671981737
26,3.5207222365240103,0.016762156882066382,-0.02441837711639741,-0.00032823001124239254
27,3.414462540235374,-0.0019494070174930587,0.03895405436513242,-0.0016881739227427232
28,3.3611624351022167,-0.007608422244275366,0.010918788614444702,0.008879561160899791
29,3.3224310695380948,-0.008227241243214277,-0.022565620460199127,0.003993204534744439
30,3.227655599499076,-0.037611144796163766,-0.06180640261236155,-0.0019743222306566914
31,2.909045052089963,-0.010551164635699578,-0.02405359694393616,-0.006126826177688279
32,2.8687444437690655,0.002423804684324739,-0.02239673908790703,0.00223850238425126
33,2.6229197868695753,0.007142224769267641,-0.046122865629235364,0.0043450996078764036
34,2.4428546686560892,-0.0042184594198964726,-0.028668241967394537,-0.0009339204639908928
35,2.3609923815209344,0.009318892664878148,-0.04814251017601556,0.0034304922758053857
36,2.3101311397544215,0.004357015319062106,0.010567601370836436,0.00012394535934905386
37,2.1934718830020747,-0.0003991869725856647,0.0719785383750802,0.0021301206757313087
38,2.088111076099751,0.003890614747950376,0.016533656186579614,0.004554278305034825
39,1.9926208233604807,0.005315639322895116,-0.016068363663867734,-0.0038602090422541454
40,1.9559008737158077,0.01186851231905673,-0.04810414972138029,0.0029741610502754
41,1.8704815717168006,-0.006740723754273524,0.09552919699158928,-0.0028757327069100012
42,1.8506520295661066,0.009713890486895492,-0.05178768547631005,0.0027022316214394717
43,1.841786281727219,-0.003374113023967031,0.011450755009152816,-0.00446649216004983
44,1.7076142797883065,0.004419461514343224,0.1127979646082144,-0.0023632677746725705
45,1.6706536621117958,0.0005217146090092265,-0.13236088791510942,0.005055711796137445
46,1.654443358213563,-0.01037551671647646,-0.01298012892403248,-0.0020363843308577453
47,1.5135911237821946,0.0073759353862034895,0.0425429058470054,-0.00032305761264856216
48,1.4808989210528545,0.005466995445296632,0.016118055005013943,0.00600651628065216
49,1.4633204709164176,0.0038764102059100033,-0.04851892393110005,0.002306592421411153
